observed_on,time_observed_at,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,description,user_login
2018-05-13,2018-05-13 22:32:00,50073,Dryas iulia,Julia Heliconian,25.6856584119,-80.441697304,"Kendall West, FL, USA",,joemdo
2018-04-30,2018-04-30 20:00:00,50073,Dryas iulia,Julia Heliconian,25.7387607219,-80.310318768,"Coral Terrace, FL, USA",,rockjetty
2016-12-24,2016-12-24 22:12:00,50073,Dryas iulia,Julia Heliconian,25.3831875965,-80.609626472,"Miami-Dade County, FL, USA",,vijaybarve
2016-06-01,,257122,Composia fidelissima,Faithful Beauty,25.4384789943,-80.5078999124,"Navy Wells Pineland Preserve, Miami-Dade County, FL, USA",,ngoldber
2018-10-17,2018-10-17 20:10:00,257122,Composia fidelissima,Faithful Beauty,25.7252526127,-80.3205215558,"Don Shula Expy, Miami, FL 33155, USA",Couldn't get a pic as it was flying and flew off into the brush,joemdo
2018-07-25,2018-07-25 17:46:54,257122,Composia fidelissima,Faithful Beauty,25.4360866667,-80.5078716667,"Miami-Dade County, US-FL, US",,bmasdeu
2018-04-30,2018-04-30 12:00:45,257122,Composia fidelissima,Faithful Beauty,25.5235978961,-80.4682725482,"Camp Owaissa Bauer Park, Homestead, FL, US",,eelprogramderm
2016-12-24,2016-12-24 21:50:00,257122,Composia fidelissima,Faithful Beauty,25.3953602876,-80.5835138262,"Miami-Dade County, FL, USA",,vijaybarve
2017-10-21,2017-10-21 18:01:00,257122,Composia fidelissima,Faithful Beauty,25.6490112852,-80.4063438811,"Three Lakes, FL 33186, USA",,joemdo
2017-01-14,2017-01-14 05:37:00,257122,Composia fidelissima,Faithful Beauty,25.4380040848,-80.5057525635,"Miami-Dade County, FL, USA",,j_appleget
2017-04-28,2017-04-28 04:05:00,257122,Composia fidelissima,Faithful Beauty,25.4000738,-80.2328284,"Adams Key, Islandia, FL, USA",,noaboa
2017-04-22,2017-04-22 17:55:00,257122,Composia fidelissima,Faithful Beauty,25.4892683,-80.4543829,"Seminole Wayside Park, Homestead, Florida",,plruiz
2017-04-14,2017-04-14 13:55:06,257122,Composia fidelissima,Faithful Beauty,25.64962625,-80.40462902,"13003-13055 Southwest 128th Street Miami, FL 33186",,eelprogramderm
2016-06-01,,67440,Utetheisa ornatrix,Ornate Bella Moth,25.4384789943,-80.5078999124,"Navy Wells Pineland Preserve, Miami-Dade County, FL, USA",,ngoldber
2018-11-04,2018-11-04 23:11:26,67440,Utetheisa ornatrix,Ornate Bella Moth,25.7258966667,-80.292695,"6011 SW 49th St, Miami, FL, US",,bennypoo
2018-09-14,2018-09-14 18:26:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.753132615,-80.147899235,"Downtown Miami, Miami, FL, USA",,lisnel
2018-09-15,2018-09-15 12:21:08,67440,Utetheisa ornatrix,Ornate Bella Moth,25.7179466667,-80.2751383333,"University of Miami - Coral Gables Campus, Coral Gables, FL, US",,ricky43
2018-07-18,2018-07-18 18:04:18,67440,Utetheisa ornatrix,Ornate Bella Moth,25.6464166667,-80.4764783333,"33196, Miami, FL, US",,alexlamoreaux
2018-07-01,2018-07-01 23:07:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.7784600677,-80.3080438126,"Miami-Dade County, FL, USA",,joemdo
2018-06-30,2018-06-30 13:25:31,67440,Utetheisa ornatrix,Ornate Bella Moth,25.6843980868,-80.2788230964,"33156, Coral Gables, FL, US",,jdallman
2018-06-01,2018-06-01 20:33:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.63202592,-80.34076953,"Kendall, FL, USA",,joemdo
2018-05-06,2018-05-06 13:19:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.77903871,-80.30830097,"Miami-Dade County, FL, USA",,joemdo
2018-04-27,2018-04-27 17:58:09,67440,Utetheisa ornatrix,Ornate Bella Moth,25.4368133545,-80.5081253052,"Homestead, FL 33034, USA",,eelprogramderm
2017-12-23,2017-12-23 14:19:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.7403833333,-80.3098444444,"AD Barnes Park, Coral Terrace, FL, USA",,alyssacritters
2018-02-19,2018-02-19 20:04:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.4393272,-80.5063341,"Homestead, FL 33034, USA",,judygva
2017-12-04,2017-12-04 20:16:18,67440,Utetheisa ornatrix,Ornate Bella Moth,25.612395,-80.3924166667,"Zoo Miami, Miami, FL, US",,megan100
2017-12-04,2017-12-04 20:31:44,67440,Utetheisa ornatrix,Ornate Bella Moth,25.6117916667,-80.3926,"Zoo Miami, Miami, FL, US",,megan100
2017-10-26,2017-10-26 12:41:31,67440,Utetheisa ornatrix,Ornate Bella Moth,25.40645002,-80.57373269,"Unnamed Road, Homestead, FL 33030, USA",,rockjetty
2017-10-21,2017-10-21 13:13:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.6561433723,-80.4215359133,"The Hammocks, FL, USA",,joemdo
2017-09-11,2017-09-11 20:09:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.7546331761,-80.3799730539,"University Park, FL, USA",,joemdo
2017-07-16,2017-07-16 14:10:57,67440,Utetheisa ornatrix,Ornate Bella Moth,25.8179687679,-80.3226501741,"7705 NW 48th St, Doral, FL, US",,plantmeat
2017-06-20,2017-06-20 19:20:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.7510674509,-80.4767739773,"Miami-Dade County, FL, USA",,joemdo
2017-06-18,2017-06-18 22:10:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.437403385,-80.506919324,"Miami-Dade County, FL, USA",,joemdo
2017-06-18,2017-06-18 22:08:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.4374227625,-80.5069488287,"Miami-Dade County, FL, USA",,joemdo
